iter	Passed	Remaining
0	4	488
1	9	464
2	14	458
3	18	438
4	22	435
5	26	421
6	31	422
7	37	427
8	41	418
9	46	418
10	51	413
11	55	404
12	60	401
13	64	394
14	68	386
15	72	380
16	77	376
17	81	369
18	85	362
19	89	358
20	93	352
21	97	346
22	102	341
23	106	336
24	110	332
25	114	326
26	119	322
27	123	316
28	127	311
29	134	312
30	138	308
31	143	304
32	148	301
33	153	297
34	156	289
35	158	282
36	161	274
37	163	267
38	165	259
39	167	251
40	169	243
41	170	235
42	172	228
43	173	221
44	175	214
45	176	207
46	178	201
47	179	194
48	181	188
49	182	182
50	184	176
51	185	171
52	187	166
53	188	160
54	189	155
55	190	149
56	192	144
57	193	139
58	194	135
59	195	130
60	197	126
61	198	121
62	200	117
63	201	113
64	202	109
65	204	105
66	205	101
67	206	97
68	208	93
69	209	89
70	210	86
71	212	82
72	213	79
73	215	75
74	216	72
75	217	68
76	219	65
77	220	62
78	221	59
79	223	55
80	224	52
81	225	49
82	227	46
83	228	43
84	229	40
85	231	37
86	232	34
87	234	31
88	235	29
89	237	26
90	238	23
91	239	20
92	240	18
93	242	15
94	243	12
95	244	10
96	246	7
97	247	5
98	248	2
99	250	0
