iter	Passed	Remaining
0	147	147614
1	148	74238
2	149	49828
3	150	37587
4	152	30304
5	153	25448
6	155	22031
7	156	19456
8	158	17436
9	159	15801
10	160	14463
11	162	13340
12	163	12405
13	164	11587
14	166	10903
15	167	10296
16	168	9765
17	170	9284
18	171	8860
19	172	8463
20	173	8103
21	175	7785
22	176	7496
23	177	7229
24	178	6974
25	180	6748
26	181	6534
27	182	6350
28	184	6184
29	186	6019
30	187	5853
31	188	5700
32	189	5557
33	191	5428
34	192	5306
35	193	5180
36	194	5071
37	196	4962
38	197	4870
39	199	4776
40	200	4685
41	201	4593
42	202	4506
43	203	4422
44	204	4344
45	206	4273
46	207	4199
47	208	4131
48	209	4069
49	212	4028
50	213	3980
51	215	3930
52	216	3873
53	218	3822
54	219	3772
55	220	3719
56	221	3668
57	223	3624
58	224	3582
59	226	3547
60	228	3514
61	229	3472
62	230	3428
63	231	3387
64	232	3347
65	234	3312
66	235	3278
67	236	3242
68	237	3210
69	239	3182
70	242	3169
71	244	3152
72	246	3126
73	247	3097
74	248	3068
75	250	3040
76	251	3010
77	252	2980
78	253	2955
79	254	2930
80	256	2911
81	258	2890
82	258	2859
83	260	2835
84	261	2812
85	262	2790
86	264	2771
87	265	2748
88	266	2728
89	268	2713
90	270	2697
91	271	2684
92	273	2668
93	274	2649
94	276	2629
95	277	2611
96	278	2596
97	280	2578
98	281	2559
99	284	2557
100	286	2554
101	288	2540
102	289	2525
103	291	2510
104	292	2492
105	293	2474
106	294	2458
107	295	2442
108	296	2425
109	298	2412
110	299	2401
111	301	2389
112	302	2378
113	305	2374
114	307	2364
115	308	2352
116	309	2336
117	310	2322
118	312	2314
119	314	2305
120	315	2295
121	317	2283
122	318	2274
123	320	2262
124	321	2253
125	323	2241
126	324	2228
127	325	2218
128	328	2216
129	329	2207
130	331	2199
131	332	2188
132	333	2176
133	335	2166
134	336	2156
135	337	2146
136	339	2136
137	340	2126
138	342	2119
139	343	2111
140	345	2107
141	346	2096
142	348	2086
143	349	2077
144	351	2075
145	352	2064
146	354	2055
147	355	2046
148	357	2044
149	359	2036
150	361	2030
151	362	2021
152	363	2013
153	364	2004
154	366	1995
155	367	1986
156	368	1976
157	369	1967
158	370	1957
159	371	1951
160	372	1943
161	374	1937
162	375	1929
163	376	1921
164	378	1913
165	379	1905
166	380	1897
167	381	1889
168	382	1880
169	383	1872
170	384	1865
171	386	1858
172	388	1856
173	389	1850
174	391	1845
175	393	1840
176	394	1834
177	396	1828
178	397	1822
179	398	1815
180	399	1808
181	402	1808
182	403	1801
183	405	1796
184	406	1791
185	407	1784
186	408	1777
187	410	1771
188	411	1764
189	412	1757
190	413	1750
191	414	1744
192	415	1739
193	417	1735
194	419	1731
195	420	1725
196	421	1719
197	422	1713
198	424	1708
199	425	1702
200	426	1696
201	427	1689
202	428	1684
203	430	1679
204	433	1679
205	435	1677
206	436	1672
207	437	1667
208	439	1662
209	440	1656
210	441	1650
211	442	1644
212	443	1638
213	444	1631
214	445	1627
215	447	1624
216	449	1622
217	450	1617
218	452	1612
219	453	1607
220	454	1602
221	455	1597
222	456	1591
223	457	1586
224	458	1580
225	460	1577
226	462	1574
227	464	1571
228	465	1566
229	466	1561
230	467	1556
231	468	1551
232	469	1545
233	470	1540
234	471	1535
235	472	1530
236	473	1524
237	475	1522
238	477	1519
239	478	1515
240	479	1510
241	480	1505
242	481	1501
243	482	1496
244	483	1491
245	485	1486
246	486	1482
247	487	1477
248	488	1473
249	490	1471
250	492	1468
251	493	1464
252	494	1460
253	495	1456
254	496	1452
255	498	1447
256	499	1442
257	499	1437
258	501	1433
259	502	1429
260	503	1425
261	505	1423
262	507	1420
263	508	1417
264	509	1413
265	510	1408
266	511	1404
267	512	1400
268	513	1396
269	515	1392
270	516	1388
271	517	1385
272	519	1382
273	521	1380
274	522	1378
275	524	1374
276	525	1370
277	526	1366
278	527	1362
279	528	1358
280	529	1355
281	530	1351
282	532	1348
283	534	1348
284	536	1345
285	537	1342
286	539	1339
287	540	1335
288	541	1331
289	542	1328
290	544	1325
291	545	1321
292	546	1318
293	547	1314
294	550	1314
295	551	1311
296	553	1309
297	554	1305
298	555	1301
299	556	1298
300	557	1294
301	558	1291
302	560	1288
303	561	1285
304	562	1281
305	564	1280
306	565	1277
307	566	1273
308	567	1269
309	569	1266
310	570	1263
311	571	1260
312	572	1257
313	574	1254
314	575	1251
315	578	1252
316	580	1250
317	582	1248
318	583	1244
319	584	1241
320	585	1238
321	586	1235
322	587	1232
323	589	1228
324	590	1226
325	591	1223
326	594	1222
327	595	1220
328	597	1217
329	598	1214
330	599	1211
331	600	1208
332	601	1205
333	602	1202
334	603	1198
335	604	1195
336	605	1191
337	606	1188
338	609	1187
339	610	1184
340	611	1182
341	612	1178
342	614	1176
343	615	1173
344	616	1170
345	617	1167
346	618	1164
347	619	1160
348	620	1157
349	621	1154
350	623	1153
351	625	1151
352	626	1149
353	627	1145
354	629	1142
355	630	1139
356	631	1137
357	632	1133
358	633	1131
359	634	1127
360	635	1124
361	636	1121
362	638	1119
363	639	1117
364	641	1115
365	642	1113
366	643	1110
367	644	1107
368	646	1104
369	647	1102
370	648	1099
371	649	1096
372	650	1093
373	651	1091
374	653	1089
375	655	1087
376	656	1085
377	658	1082
378	659	1079
379	660	1077
380	661	1074
381	662	1071
382	663	1069
383	664	1066
384	665	1063
385	667	1062
386	669	1060
387	670	1058
388	672	1055
389	673	1052
390	674	1050
391	675	1048
392	676	1045
393	677	1042
394	678	1039
395	679	1037
396	680	1034
397	682	1032
398	684	1030
399	685	1028
400	686	1026
401	688	1023
402	689	1020
403	690	1018
404	691	1015
405	692	1013
406	693	1010
407	694	1007
408	695	1005
409	697	1003
410	698	1001
411	700	999
412	701	997
413	702	994
414	703	991
415	704	989
416	705	986
417	706	984
418	707	981
419	708	978
420	709	976
421	712	975
422	714	974
423	715	972
424	716	969
425	717	967
426	718	964
427	720	962
428	721	959
429	722	957
430	723	954
431	724	951
432	724	949
433	727	948
434	729	947
435	730	945
436	731	942
437	732	939
438	733	937
439	734	935
440	735	932
441	736	929
442	737	927
443	738	924
444	739	922
445	742	922
446	744	921
447	745	918
448	746	916
449	747	914
450	749	911
451	749	909
452	750	906
453	751	904
454	753	901
455	754	899
456	755	897
457	757	896
458	758	894
459	760	892
460	761	889
461	762	887
462	763	885
463	764	883
464	765	881
465	766	878
466	767	876
467	769	874
468	770	872
469	772	871
470	774	869
471	775	867
472	776	864
473	777	862
474	778	860
475	779	858
476	780	855
477	781	853
478	782	851
479	783	849
480	785	847
481	788	847
482	789	845
483	791	843
484	792	841
485	793	839
486	794	837
487	796	835
488	797	833
489	798	830
490	799	828
491	803	829
492	804	827
493	806	825
494	807	823
495	808	821
496	809	819
497	810	816
498	811	814
499	812	812
500	813	810
501	815	809
502	816	806
503	817	804
504	818	802
505	819	800
506	820	798
507	822	796
508	824	794
509	825	792
510	826	790
511	827	788
512	828	786
513	830	785
514	832	783
515	833	781
516	834	779
517	835	777
518	837	775
519	838	773
520	839	771
521	840	769
522	841	767
523	842	765
524	843	763
525	845	762
526	846	760
527	848	758
528	849	756
529	850	754
530	851	752
531	853	750
532	854	748
533	855	746
534	856	744
535	857	742
536	858	740
537	860	739
538	862	737
539	863	735
540	864	733
541	866	731
542	867	730
543	868	728
544	869	726
545	870	723
546	871	721
547	872	719
548	874	718
549	876	717
550	877	715
551	879	713
552	880	711
553	881	709
554	882	707
555	883	705
556	884	703
557	885	701
558	887	699
559	890	700
560	892	698
561	893	696
562	894	694
563	896	692
564	897	690
565	898	688
566	899	686
567	900	684
568	901	683
569	903	681
570	905	680
571	907	679
572	908	677
573	909	675
574	911	673
575	912	671
576	913	669
577	914	667
578	916	666
579	916	663
580	918	662
581	920	661
582	922	659
583	923	657
584	924	655
585	925	654
586	926	652
587	927	650
588	928	648
589	929	646
590	930	644
591	931	642
592	933	640
593	934	638
594	936	637
595	938	635
596	939	634
597	940	632
598	941	630
599	942	628
600	943	626
601	945	624
602	946	622
603	947	620
604	949	620
605	951	618
606	952	616
607	953	614
608	954	613
609	955	611
610	957	609
611	958	607
612	959	605
613	960	603
